Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen17_Ind2050,011011000000011010001111,33554432,4,0,1,1,bt4,32,200,3.6024366052707
2,Gen19_Ind2265,011011000000011010001111,33554432,4,0,1,1,bt4,32,50,3.6024366052707
3,Gen20_Ind2472,011011000000011010001111,33554432,4,0,1,1,bt4,32,500,3.6024366052707
4,Gen20_Ind2484,011011000000011010001111,33554432,4,0,1,1,bt4,32,0,3.6024366052707
5,Gen21_Ind2554,011011000000011010001100,33554432,4,0,1,1,bt4,32,200,3.6024366052707
6,Gen21_Ind2598,010111000000011010001101,8388608,4,0,1,1,bt4,32,500,3.6024366052707
7,Gen22_Ind2652,011001000000011010001101,16777216,4,0,1,1,bt4,32,500,3.6024366052707
8,Gen22_Ind2658,011001000000011010001111,16777216,4,0,1,1,bt4,32,500,3.6024366052707
9,Gen22_Ind2687,011011000000011010001101,33554432,4,0,1,1,bt4,32,500,3.6024366052707
10,Gen20_Ind2472,011011000000011010001111,33554432,4,0,1,1,bt4,32,1000,3.6024366052707
11,Gen37_Ind4526,011011000000011101001111,33554432,4,0,1,1,hc3,32,0,3.6024366052707
12,Gen37_Ind4532,011011000000011010001111,33554432,4,0,1,1,bt4,32,500,3.6024366052707
13,Gen37_Ind4539,011101000000011010001101,67108864,4,0,1,1,bt4,32,500,3.6024366052707
14,Gen37_Ind4554,011111000000011010001111,134217728,4,0,1,1,bt4,32,100,3.6024366052707
15,Gen20_Ind2484,011011000000011010001111,33554432,4,0,1,1,bt4,32,100,3.6024366052707
16,Gen37_Ind4568,011001000000011010001111,16777216,4,0,1,1,bt4,32,50,3.6024366052707
17,Gen37_Ind4577,011001000001011010001111,16777216,4,0,1,1,bt4,32,100,3.6024366052707
18,Gen37_Ind4579,011001000000011010001101,16777216,4,0,1,1,bt4,32,500,3.6024366052707
19,Gen20_Ind2472,011011000000011010001111,33554432,4,0,1,1,bt4,32,200,3.6024366052707
20,Gen36_Ind4511,010111000000011010001101,8388608,4,0,1,1,bt4,32,500,3.6024366052707
21,Gen37_Ind4604,011111000000011010001111,134217728,4,0,1,1,bt4,32,10,3.6024366052707
22,Gen37_Ind4612,011011000000011010001111,33554432,4,0,1,1,bt4,32,100,3.6024366052707
23,Gen36_Ind4412,011011000000011001001100,33554432,4,0,1,1,bt3,32,200,3.6023007534675346
